DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),DOXY (millimole/m3),PRES (decibar),PSAL (psu),TEMP (degree_Celsius)
2024-05-03T08:45:40Z,13.511,88.512,948.6923077,27.076,880,34.9694,7.3613
2024-05-03T08:45:40Z,13.511,88.512,954.2119013,27.26,885,34.9681,7.3291
2024-05-03T08:45:40Z,13.511,88.512,959.7314949,28.04,890,34.9666,7.2932
2024-05-03T08:45:40Z,13.511,88.512,965.2510885,29.05,895,34.9648,7.2515
2024-05-03T08:45:40Z,13.511,88.512,970.7706821,29.481,900,34.9641,7.2194
2024-05-03T08:45:40Z,13.511,88.512,976.2902758,29.61,905,34.9635,7.1947
2024-05-03T08:45:40Z,13.511,88.512,981.8098694,29.852,910,34.9628,7.1766
2024-05-03T08:45:40Z,13.511,88.512,987.329463,30.132,915,34.9621,7.1466
2024-05-03T08:45:40Z,13.511,88.512,992.8490566,30.716,920,34.9603,7.1165
2024-05-03T08:45:40Z,13.511,88.512,998.3686502,31.413,925,34.9581,7.0674
2024-05-03T08:45:40Z,13.511,88.512,1003.888244,32.567,930,34.9566,7.023
2024-05-03T08:45:40Z,13.511,88.512,1009.407837,32.84,935,34.9558,6.9878
2024-05-03T08:45:40Z,13.511,88.512,1014.927431,32.668,940,34.9551,6.9639
2024-05-03T08:45:40Z,13.511,88.512,1020.447025,33.064,945,34.954,6.936
2024-05-03T08:45:40Z,13.511,88.512,1025.966618,33.736,950,34.953,6.906
2024-05-03T08:45:40Z,13.511,88.512,1031.486212,33.972,955,34.9522,6.879
2024-05-03T08:45:40Z,13.511,88.512,1037.005806,34.005,960,34.9512,6.854
2024-05-03T08:45:40Z,13.511,88.512,1042.525399,33.798,965,34.9502,6.827
2024-05-03T08:45:40Z,13.511,88.512,1048.044993,34.179,970,34.9494,6.8066
2024-05-03T08:45:40Z,13.511,88.512,1053.564586,34.963,975,34.9483,6.7704
2024-05-03T08:45:40Z,13.511,88.512,1059.08418,35.535,980,34.947,6.7481
2024-05-03T08:45:40Z,13.511,88.512,1064.603774,36.056,985,34.9459,6.7283
2024-05-03T08:45:40Z,13.511,88.512,1070.123367,36.418,990,34.9452,6.7131
2024-05-03T08:45:40Z,13.511,88.512,1075.642961,36.672,995,34.9444,6.6834
2024-05-03T08:45:40Z,13.511,88.512,1081.162554,37.142,1000,34.9433,6.6568
2024-05-03T08:45:40Z,13.511,88.512,1086.682148,38.177,1005,34.9423,6.635
2024-05-03T08:45:40Z,13.511,88.512,1092.201742,38.154,1010,34.9415,6.6015
2024-05-03T08:45:40Z,13.511,88.512,1097.721335,38.523,1015,34.9402,6.5687
2024-05-03T08:45:40Z,13.511,88.512,1103.240929,39.003,1020,34.9391,6.5401
2024-05-03T08:45:40Z,13.511,88.512,1108.760522,39.255,1025,34.938,6.5151
2024-05-03T08:45:40Z,13.511,88.512,1114.280116,39.931,1030,34.9371,6.4828
2024-05-03T08:45:40Z,13.511,88.512,1119.79971,39.71,1035,34.9364,6.4542
2024-05-03T08:45:40Z,13.511,88.512,1125.319303,40.145,1040,34.9351,6.4183
2024-05-03T08:45:40Z,13.511,88.512,1130.838897,40.454,1045,34.9343,6.4021
2024-05-03T08:45:40Z,13.511,88.512,1136.358491,40.89,1050,34.933,6.3708
2024-05-03T08:45:40Z,13.511,88.512,1141.878084,41.515,1055,34.9318,6.3425
2024-05-03T08:45:40Z,13.511,88.512,1147.397678,42.089,1060,34.931,6.3208
2024-05-03T08:45:40Z,13.511,88.512,1152.917271,42.532,1065,34.9297,6.289
2024-05-03T08:45:40Z,13.511,88.512,1158.436865,42.998,1070,34.9286,6.2533
2024-05-03T08:45:40Z,13.511,88.512,1163.956459,43.64,1075,34.9272,6.2193
2024-05-03T08:45:40Z,13.511,88.512,1169.476052,44.117,1080,34.9255,6.1814
2024-05-03T08:45:40Z,13.511,88.512,1174.995646,45.257,1085,34.9243,6.1557
2024-05-03T08:45:40Z,13.511,88.512,1180.515239,45.275,1090,34.9234,6.1342
2024-05-03T08:45:40Z,13.511,88.512,1186.034833,46.088,1095,34.9225,6.1139
2024-05-03T08:45:40Z,13.511,88.512,1191.554427,46.421,1100,34.9217,6.0974
2024-05-03T08:45:40Z,13.511,88.512,1197.07402,46.815,1105,34.921,6.0741
2024-05-03T08:45:40Z,13.511,88.512,1202.593614,47.243,1110,34.9205,6.067
2024-05-03T08:45:40Z,13.511,88.512,1208.113208,47.186,1115,34.9197,6.0456
2024-05-03T08:45:40Z,13.511,88.512,1213.632801,47.678,1120,34.919,6.0265
2024-05-03T08:45:40Z,13.511,88.512,1219.152395,48.014,1125,34.9184,6.0113
2024-05-03T08:45:40Z,13.511,88.512,1224.671988,48.548,1130,34.9176,5.9901
2024-05-03T08:45:40Z,13.511,88.512,1230.191582,48.741,1135,34.9165,5.9549
2024-05-03T08:45:40Z,13.511,88.512,1235.711176,48.783,1140,34.9156,5.9317
2024-05-03T08:45:40Z,13.511,88.512,1241.230769,49.402,1145,34.9148,5.907
2024-05-03T08:45:40Z,13.511,88.512,1246.750363,49.738,1150,34.914,5.8901
2024-05-03T08:45:40Z,13.511,88.512,1252.269956,50.078,1155,34.9133,5.8708
2024-05-03T08:45:40Z,13.511,88.512,1257.78955,50.038,1160,34.9123,5.8426
2024-05-03T08:45:40Z,13.511,88.512,1263.309144,50.479,1165,34.9115,5.8208
2024-05-03T08:45:40Z,13.511,88.512,1268.828737,50.675,1170,34.9109,5.8092
2024-05-03T08:45:40Z,13.511,88.512,1274.348331,51.205,1175,34.9103,5.7942
2024-05-03T08:45:40Z,13.511,88.512,1279.867925,51.381,1180,34.9093,5.7667
2024-05-03T08:45:40Z,13.511,88.512,1285.387518,51.675,1185,34.9082,5.7341
2024-05-03T08:45:40Z,13.511,88.512,1290.907112,52.16,1190,34.9071,5.7053
2024-05-03T08:45:40Z,13.511,88.512,1296.426705,52.651,1195,34.9059,5.6713
2024-05-03T08:45:40Z,13.511,88.512,1301.946299,53.072,1200,34.9053,5.6566
2024-05-03T08:45:40Z,13.511,88.512,1307.465893,53.208,1205,34.9044,5.6389
2024-05-03T08:45:40Z,13.511,88.512,1312.985486,53.773,1210,34.9035,5.6049
2024-05-03T08:45:40Z,13.511,88.512,1318.50508,54.382,1215,34.9026,5.5839
2024-05-03T08:45:40Z,13.511,88.512,1324.024673,54.887,1220,34.902,5.5704
2024-05-03T08:45:40Z,13.511,88.512,1329.544267,55.313,1225,34.9014,5.5508
2024-05-03T08:45:40Z,13.511,88.512,1335.063861,55.629,1230,34.9004,5.5232
2024-05-03T08:45:40Z,13.511,88.512,1340.583454,55.797,1235,34.8997,5.5028
2024-05-03T08:45:40Z,13.511,88.512,1346.103048,56.374,1240,34.899,5.4851
2024-05-03T08:45:40Z,13.511,88.512,1351.622642,56.533,1245,34.8983,5.4666
2024-05-03T08:45:40Z,13.511,88.512,1357.142235,56.956,1250,34.8976,5.4483
2024-05-03T08:45:40Z,13.511,88.512,1362.661829,56.944,1255,34.8968,5.4323
2024-05-03T08:45:40Z,13.511,88.512,1368.181422,57.08,1260,34.8959,5.4067
2024-05-03T08:45:40Z,13.511,88.512,1373.701016,57.507,1265,34.8952,5.3855
2024-05-03T08:45:40Z,13.511,88.512,1379.22061,57.777,1270,34.8944,5.366
2024-05-03T08:45:40Z,13.511,88.512,1384.740203,58.188,1275,34.8935,5.3452
2024-05-03T08:45:40Z,13.511,88.512,1390.259797,58.227,1280,34.8929,5.3237
2024-05-03T08:45:40Z,13.511,88.512,1395.77939,59.071,1285,34.8922,5.3028
2024-05-03T08:45:40Z,13.511,88.512,1401.298984,59.301,1290,34.8913,5.2765
2024-05-03T08:45:40Z,13.511,88.512,1406.818578,59.872,1295,34.89,5.2368
2024-05-03T08:45:40Z,13.511,88.512,1412.338171,60.363,1300,34.8893,5.2149
2024-05-03T08:45:40Z,13.511,88.512,1417.857765,60.453,1305,34.8887,5.1999
2024-05-03T08:45:40Z,13.511,88.512,1423.377358,60.717,1310,34.8881,5.1859
2024-05-03T08:45:40Z,13.511,88.512,1428.896952,60.916,1315,34.8869,5.1547
2024-05-03T08:45:40Z,13.511,88.512,1434.416546,61.621,1320,34.8855,5.1243
2024-05-03T08:45:40Z,13.511,88.512,1439.936139,61.88,1325,34.8849,5.1137
2024-05-03T08:45:40Z,13.511,88.512,1445.455733,62.183,1330,34.8842,5.1015
2024-05-03T08:45:40Z,13.511,88.512,1450.975327,62.526,1335,34.8829,5.0638
2024-05-03T08:45:40Z,13.511,88.512,1456.49492,63.574,1340,34.8818,5.0315
2024-05-03T08:45:40Z,13.511,88.512,1462.014514,63.731,1345,34.8808,5.0049
2024-05-03T08:45:40Z,13.511,88.512,1467.534107,63.958,1350,34.88,4.9881
2024-05-03T08:45:40Z,13.511,88.512,1473.053701,64.38,1355,34.8792,4.9695
2024-05-03T08:45:40Z,13.511,88.512,1478.573295,64.781,1360,34.8784,4.9456
2024-05-03T08:45:40Z,13.511,88.512,1484.092888,64.855,1365,34.8776,4.9243
2024-05-03T08:45:40Z,13.511,88.512,1489.612482,65.184,1370,34.8767,4.9006
2024-05-03T08:45:40Z,13.511,88.512,1495.132075,65.379,1375,34.8759,4.8807
2024-05-03T08:45:40Z,13.511,88.512,1500.651669,65.92,1380,34.8753,4.8653
2024-05-03T08:45:40Z,13.511,88.512,1506.171263,66.21,1385,34.8744,4.8427
2024-05-03T08:45:40Z,13.511,88.512,1511.690856,66.591,1390,34.8736,4.8207
2024-05-03T08:45:40Z,13.511,88.512,1517.21045,67.17,1395,34.8725,4.7918
2024-05-03T08:45:40Z,13.511,88.512,1522.730044,67.56,1400,34.8717,4.7701
2024-05-03T08:45:40Z,13.511,88.512,1528.249637,68.004,1405,34.871,4.7537
2024-05-03T08:45:40Z,13.511,88.512,1533.769231,68.277,1410,34.8703,4.7329
2024-05-03T08:45:40Z,13.511,88.512,1539.288824,68.461,1415,34.8694,4.7117
2024-05-03T08:45:40Z,13.511,88.512,1544.808418,68.766,1420,34.8687,4.6918
2024-05-03T08:45:40Z,13.511,88.512,1550.328012,69.073,1425,34.8679,4.6727
2024-05-03T08:45:40Z,13.511,88.512,1555.847605,69.43,1430,34.8671,4.6478
2024-05-03T08:45:40Z,13.511,88.512,1561.367199,69.905,1435,34.8661,4.6241
2024-05-03T08:45:40Z,13.511,88.512,1566.886792,70.261,1440,34.8655,4.6056
2024-05-03T08:45:40Z,13.511,88.512,1572.406386,70.395,1445,34.8649,4.5956
2024-05-03T08:45:40Z,13.511,88.512,1577.92598,70.711,1450,34.8642,4.5748
2024-05-03T08:45:40Z,13.511,88.512,1583.445573,71.001,1455,34.8633,4.5519
2024-05-03T08:45:40Z,13.511,88.512,1588.965167,71.593,1460,34.8625,4.5309
2024-05-03T08:45:40Z,13.511,88.512,1594.484761,71.815,1465,34.8615,4.5039
2024-05-03T08:45:40Z,13.511,88.512,1600.004354,72.449,1470,34.8604,4.4765
2024-05-03T08:45:40Z,13.511,88.512,1605.523948,72.712,1475,34.8595,4.4499
2024-05-03T08:45:40Z,13.511,88.512,1611.043541,73.293,1480,34.8587,4.4335
2024-05-03T08:45:40Z,13.511,88.512,1616.563135,73.764,1485,34.8577,4.4017
2024-05-03T08:45:40Z,13.511,88.512,1622.082729,74.172,1490,34.8569,4.3868
2024-05-03T08:45:40Z,13.511,88.512,1627.602322,74.512,1495,34.8563,4.3724
2024-05-03T08:45:40Z,13.511,88.512,1633.121916,74.635,1500,34.8557,4.3633
2024-05-03T08:45:40Z,13.511,88.512,1638.641509,74.832,1505,34.8549,4.339
2024-05-03T08:45:40Z,13.511,88.512,1644.161103,75.279,1510,34.8543,4.3252
2024-05-03T08:45:40Z,13.511,88.512,1649.680697,75.648,1515,34.8536,4.3049
2024-05-03T08:45:40Z,13.511,88.512,1655.20029,76.004,1520,34.8528,4.2814
2024-05-03T08:45:40Z,13.511,88.512,1660.719884,76.283,1525,34.852,4.2658
2024-05-03T08:45:40Z,13.511,88.512,1666.239478,76.789,1530,34.8512,4.2357
2024-05-03T08:45:40Z,13.511,88.512,1671.759071,77.196,1535,34.8504,4.2197
2024-05-03T08:45:40Z,13.511,88.512,1677.278665,77.616,1540,34.8492,4.1871
2024-05-03T08:45:40Z,13.511,88.512,1682.798258,78.517,1545,34.848,4.1549
